generation_num,frame_length,resolution,tot_other_time,tot_self_attn_time,tot_cross_time,tot_ff_time,inference_time
1,29,480p,1953.6609428916126,89286.67895126343,19962.954807281494,45177.88036060333,166519.546875
2,29,480p,1954.6900563184172,89350.15039634705,19973.91570663452,45198.893812179565,166457.640625
3,29,480p,1955.0218348568305,89354.21137809753,19972.464351177216,45198.96143245697,166401.8125
4,29,480p,1954.6992726903409,89355.61170196533,19978.941607952118,45197.35173034668,166432.046875
5,29,480p,1956.4103777911514,89350.61942100525,19976.820162773132,45198.76072025299,166417.890625
6,29,480p,1955.1692889351398,89350.89666748047,19975.982280254364,45197.056792259216,166405.140625
7,29,480p,1955.0249069156125,89360.15110778809,19975.456745147705,45199.1519241333,166437.5625
8,29,480p,1955.0965842129663,89353.02308654785,19975.026401996613,45197.53501033783,166424.265625
9,29,480p,1954.9358172621578,89357.23498153687,19980.188054561615,45198.55490875244,166443.140625
10,29,480p,1954.3869532775134,89356.61363983154,19975.648880958557,45201.30845928192,166433.296875
1,29,720p,5260.800977902487,548597.2370452881,56482.51942443848,134374.79624176025,773777.0625
2,29,720p,5266.272230817936,548640.2743835449,56485.30488204956,134383.7571296692,772792.8125
3,29,720p,5277.959154857323,548624.7582855225,56510.82041358948,134379.70725250244,772948.8125
4,29,720p,5251.958854122087,548363.6022644043,56453.8008556366,134239.3536567688,772335.6875
5,29,720p,5245.335595765151,548301.2563781738,56443.89324951172,134233.45738220215,772226.8125
6,29,720p,5243.446322589181,548271.7500305176,56435.734815597534,134250.59812164307,772162.9375
7,29,720p,5242.845248900354,548335.7159881592,56439.437505722046,134246.44596099854,772208.3125
8,29,720p,5242.46841346845,548309.911529541,56437.2535533905,134236.85108947754,772183.0
9,29,720p,5243.629625777714,548325.1244354248,56435.54111480713,134252.42597198486,772215.5
10,29,720p,5242.272829992697,548311.1091461182,56444.81093788147,134235.21255111694,772194.25
1,93,480p,5241.578566152602,547958.9884338379,56444.36890029907,134226.32528686523,771577.6875
2,93,480p,5238.322258305736,547935.8371429443,56442.608167648315,134212.2617111206,771556.125
3,93,480p,5239.733335228637,547938.9702453613,56446.04623603821,134205.97005462646,771582.25
4,93,480p,5238.328411252238,547930.8624420166,56441.40345954895,134204.0001296997,771524.5
5,93,480p,5235.903579656966,547933.7920532227,56438.32007026672,134206.04705810547,771515.5
6,93,480p,5236.364378158003,547927.4733581543,56441.09132575989,134204.5038909912,771542.4375
7,93,480p,5241.093203339726,547926.4463653564,56439.36347389221,134207.7887649536,771533.625
8,93,480p,5240.61908772029,547934.1721496582,56442.09636116028,134206.4116897583,771535.0625
9,93,480p,5245.460523934104,548071.2902984619,56458.756744384766,134264.51953125,771892.25
10,93,480p,5252.083743638359,548090.2377166748,56468.201877593994,134284.46397781372,771911.9375
1,93,720p,15142.56490078289,4238263.844116211,166080.9818572998,401468.400680542,4906029.5
2,93,720p,15123.171382126398,4237696.531616211,166037.14630126953,401353.3316116333,4905152.5
3,93,720p,15118.209087400697,4237838.396240234,166034.3466911316,401333.60414886475,4905274.5
4,93,720p,15118.041142713279,4237456.985595703,166037.12059783936,401316.1633453369,4904948.0
5,93,720p,15137.000503866002,4237852.440673828,166075.74807357788,401328.49224090576,4905406.5
6,93,720p,15120.796734300442,4238316.873535156,166056.3783302307,401315.16497039795,4905576.0
7,93,720p,15140.061260377057,4237817.786499023,166088.41663742065,401309.31173706055,4905302.5
8,93,720p,15122.05828391295,4238088.720336914,166044.13997650146,401314.44718170166,4905295.5
9,93,720p,15200.603036304004,4238777.308105469,166172.18852233887,401870.1131057739,4907149.5
10,93,720p,15150.468102179468,4237748.60559082,166078.96153640747,401565.5075683594,4905583.0
